0.00606441,0,59,9152
0.144492,0,468,9152
0.0433064,0,727,9152
0.0291281,0,750,2186
0.0196314,0,788,4031
0.0125465,0,1312,9152
3.56578,0,1892,9152
0.0162983,0,2045,9152
0.0353451,0,2179,6663
0.0694838,0,2186,6663
0.0673151,0,2616,9152
0.0215597,0,3983,9650
0.045928,0,4004,9099
0.0918245,0,4031,9152
0.0120354,0,4098,6663
0.0321388,0,5441,9150
0.0560446,0,6334,9152
0.0231485,0,6606,9152
0.0197763,0,6639,9152
0.208117,0,6663,9152
0.0504646,0,7699,9152
0.0575285,0,8068,4031
0.0121574,0,8173,9152
0.030282,0,8273,9152
3.77252,0,8775,9152
0.0321798,0,8874,6663
0.12361,0,8890,9152
0.0822468,0,9099,9152
0.0052166,0,9116,6663
0.110082,0,9117,9152
0.0495253,0,9150,9152
11.1357,0,9152,9152
0.0696659,0,9167,9152
2.89873,0,9178,9152
0.0173712,0,9269,9152
0.0641727,0,9512,4031
2.93796,0,9518,9152
4.09985,0,9646,9152
0.0537577,0,9650,6663
0.0162487,1,43,9433
0.206833,1,120,9925
0.0308628,1,480,1256
0.0167027,1,1216,8927
0.00230885,1,1233,1278
0.373795,1,1239,8927
0.398844,1,1256,8927
0.0605736,1,1259,9433
0.630527,1,1278,8927
0.0992661,1,2359,8927
0.0327835,1,2559,9960
0.0765057,1,2582,8927
0.0409803,1,3411,1256
0.0527067,1,3732,8927
0.161036,1,5059,8927
0.0193405,1,5428,8927
0.00722599,1,5983,8927
0.267169,1,6766,9953
0.036706,1,6973,9498
0.28548,1,7635,1256
0.0365028,1,7855,9433
0.007061,1,8153,1256
0.0617733,1,8810,1256
11.1357,1,8927,8927
0.197191,1,8936,1278
0.469135,1,8973,8927
0.120602,1,8995,9953
0.248305,1,9292,8927
0.103222,1,9433,1278
0.189375,1,9438,9953
0.0766983,1,9458,9492
0.203968,1,9492,8927
0.0381088,1,9498,9953
0.282787,1,9925,9953
0.443239,1,9953,8927
0.372049,1,9960,1278
